Designator,Mid X,Mid Y,Rotation,Layer
IC1,155.3718,-75.4126,0.0,top
IC2,142.1312,-100.5652,0.0,top
Q1,137.8732,-75.9637,0.0,top
Q2,144.4832,-75.9637,0.0,top
Q3,127.9412,-100.7402,0.0,top
Q4,134.5512,-100.7402,0.0,top
R1,136.5432,-58.4887,0.0,top
R10,140.4932,-66.1387,0.0,top
R11,140.4932,-68.6887,0.0,top
R12,140.4932,-71.2387,0.0,top
R13,144.4432,-58.4887,0.0,top
R14,144.4432,-61.0387,0.0,top
R15,144.4432,-63.5887,0.0,top
R16,144.4432,-66.1387,0.0,top
R17,144.4432,-68.6887,0.0,top
R18,144.4432,-71.2387,0.0,top
R19,148.3932,-58.4887,0.0,top
R2,136.5432,-61.0387,0.0,top
R20,148.3932,-61.0387,0.0,top
R21,148.3932,-63.5887,0.0,top
R22,148.3932,-66.1387,0.0,top
R23,148.3932,-68.6887,0.0,top
R24,148.3932,-71.2387,0.0,top
R25,152.3432,-58.4887,0.0,top
R26,152.3432,-61.0387,0.0,top
R27,152.3432,-63.5887,0.0,top
R28,152.3432,-66.1387,0.0,top
R29,152.3432,-68.6887,0.0,top
R3,136.5432,-63.5887,0.0,top
R30,152.3432,-71.2387,0.0,top
R31,126.6112,-83.2652,0.0,top
R32,126.6112,-85.8152,0.0,top
R33,126.6112,-88.3652,0.0,top
R34,126.6112,-90.9152,0.0,top
R35,126.6112,-93.4652,0.0,top
R36,126.6112,-96.0152,0.0,top
R37,130.5612,-83.2652,0.0,top
R38,130.5612,-85.8152,0.0,top
R39,130.5612,-88.3652,0.0,top
R4,136.5432,-66.1387,0.0,top
R40,130.5612,-90.9152,0.0,top
R41,130.5612,-93.4652,0.0,top
R42,130.5612,-96.0152,0.0,top
R43,134.5112,-83.2652,0.0,top
R44,134.5112,-85.8152,0.0,top
R45,134.5112,-88.3652,0.0,top
R46,134.5112,-90.9152,0.0,top
R47,134.5112,-93.4652,0.0,top
R48,134.5112,-96.0152,0.0,top
R49,138.4612,-83.2652,0.0,top
R5,136.5432,-68.6887,0.0,top
R50,138.4612,-85.8152,0.0,top
R51,138.4612,-88.3652,0.0,top
R52,138.4612,-90.9152,0.0,top
R53,138.4612,-93.4652,0.0,top
R54,138.4612,-96.0152,0.0,top
R55,142.4112,-83.2652,0.0,top
R56,142.4112,-85.8152,0.0,top
R57,142.4112,-88.3652,0.0,top
R58,142.4112,-90.9152,0.0,top
R59,142.4112,-93.4652,0.0,top
R6,136.5432,-71.2387,0.0,top
R60,142.4112,-96.0152,0.0,top
R7,140.4932,-58.4887,0.0,top
R8,140.4932,-61.0387,0.0,top
R9,140.4932,-63.5887,0.0,top
U1,0.0,0.0,0.0,top
U2,156.9586,-82.6837,90.0,top
U3,147.5412,-85.1452,90.0,top
